"Gene","DPI01.lfc","DPI01.padj","DPI05.lfc","DPI05.padj","DPI07.lfc","DPI07.padj","DPI15.lfc","DPI15.padj","DPI21.lfc","DPI21.padj","DPI28.lfc","DPI28.padj"
"AADACL2",0.0154095030875049,0.841464535524648,0.0410785339004818,0.758585813930261,4.00808155206592,3.65813039011291e-05,-0.0166470936355745,0.941203688081044,0.0177287866638045,0.87959344215002,0.0528523701913914,0.61737756506025
"AADACL3",-0.00321880072836895,0.979709354741444,0.0529905765096138,0.700171127919227,-0.0293242471300576,0.928057287409327,-0.0879959156662449,0.637106430520868,-0.0124472177913659,0.925507113506964,-0.0177901267820627,0.903267434345112
"AADACL4",-0.00466486809351747,0.974987871730478,0.0384089852614624,0.840870492039696,-0.204516474802532,0.54356349110082,-0.282263991106668,0.223478108820921,-0.0159764255561954,0.92728204065446,-0.0357262224619375,0.817785643803033
"AADAT",0.027391059586198,0.895235513964826,0.0166939798815823,0.958952315924613,-0.413678074168191,0.283457871625439,0.0710670039421851,0.8341480597563,0.0155693328851848,0.958228560697082,-0.00331743627122119,0.992482653643319
"AAGAB",-0.508101692913144,0.113561101338195,-0.170391852727423,0.540787904569215,0.405136408925925,0.124741705806538,0.150927269484913,0.57429255706347,-0.0317314409876869,0.925507113506964,-0.153088312240974,0.566089382456458
"AAK1",0.0293840263932463,0.931030489665605,0.161764671127643,0.431570205945227,0.445021870061766,0.00573439173488754,-0.106395824409676,0.606582221267261,-0.0316061042324734,0.960974029313317,0.0072744719956008,0.955196154340608
"AAMDC",-0.0685790511725895,0.798387895455205,-0.248683808249811,0.310960611125102,-0.170191288301698,0.51468751149398,-0.0997868276186173,0.714658898289606,-0.0285139601044337,0.934506422797299,-0.0369801230844077,0.920537072981948
"AAMP",0.0298503908139425,0.909465041435278,0.0258019166978951,0.943858841149839,-0.25844952714933,0.419017867271851,-0.29073516360476,0.300719534103966,-0.0947545916051023,0.695431753520712,-0.128085449772028,0.617194198908772
"AANAT",1.88116223461074,0.00432587003384585,3.2069989049769,4.14406539805091e-09,3.94198784849308,1.14282482234164e-14,1.80185050941722,0.00100925818875309,1.33242196401385,0.0261636018185464,1.69932583329748,0.00384708131917136
"AAR2",-0.0541151600098501,0.86897614244719,-0.126139357414874,0.638982740304821,-0.373067847592925,0.0657557034853289,0.00887435556930379,0.974970626813674,-0.0169010491228251,0.972534662866777,-0.0153218575576481,0.964648014846725
"AARS1",-0.104073054203757,0.651323885868423,-0.191780155208827,0.18380815382133,-0.349121284838772,0.00130772443193075,-0.472121809128003,1.72012331302811e-05,-0.251689890999034,0.0659875221558281,-0.349314210839337,0.00360167993499894
"AARS2",-0.0131154569714847,0.979765713829058,-0.246410945483746,0.313114476413891,-0.688365213868888,0.00129611158127302,-0.346278514340165,0.119465044930683,-0.19540628187599,0.41129230340812,-0.128729570638033,0.630265952610765
"AASDH",-0.0341140708603635,0.911907739318162,-0.0716887301521644,0.820602226973709,-0.177786468418931,0.550554555374637,0.449125262392768,0.0868382797433177,0.199600286953762,0.419717516185598,0.0971981928255775,0.740281363181295
"AASDHPPT",-0.0647490812366186,0.80171510108968,0.101694465498442,0.739284346314306,0.0712089227661543,0.84092217404014,0.330259045938148,0.1752029701051,0.131465735556524,0.59900050751242,-0.0420845405400463,0.907397714542175
